compound,Name,Formula,CAS,MolWeight,Tc,Pc,Vc,Zc,Acentric factor
174,2-Hexanol,C6H14O,626-93-7,102.175,585.3,3.311,0.385,0.262,0.553
175,2-Hexanone,C6H12O,591-78-6,100.15888,587.61,3.287,0.378,0.254,0.384626
176,3-Hexanone,C6H12O,589-38-8,100.15888,582.82,3.32,0.378,0.259,0.380086
177,1-Hexene,C6H12,592-41-6,84.15948,504.0,3.21,0.348,0.267,0.285121
178,3-Hexyne,C6H10,928-49-4,82.1436,544.0,3.53,0.331,0.258,0.218301
179,Hexyl mercaptan,C6H14S,111-31-9,118.24036,623.0,3.08,0.412,0.245,0.368101
180,1-Hexyne,C6H10,693-02-7,82.1436,516.2,3.62,0.322,0.272,0.332699
181,2-Hexyne,C6H10,764-35-2,82.1436,549.0,3.53,0.331,0.256,0.221387
182,Hydrazine,H4N2,302-01-2,32.04516,653.15,14.7,0.158,0.428,0.314282
183,Hydrogen,H2,1333-74-0,2.01588,33.19,1.313,0.064147,0.305,−0.215993
184,Hydrogen bromide,BrH,10035-10-6,80.91194,363.15,8.552,0.1,0.283,0.073409
185,Hydrogen chloride,ClH,7647-01-0,36.46094,324.65,8.31,0.081,0.249,0.131544
186,Hydrogen cyanide,CHN,74-90-8,27.02534,456.65,5.39,0.139,0.197,0.409913
187,Hydrogen fluoride,FH,7664-39-3,20.0063432,461.15,6.48,0.069,0.117,0.382283
188,Hydrogen sulfide,H2S,7783-06-4,34.08088,373.53,8.96291,0.0985,0.284,0.0941677
189,Isobutyric acid,C4H8O2,79-31-2,88.10512,605.0,3.7,0.292,0.215,0.61405
190,Isopropyl amine,C3H9N,75-31-0,59.11026,471.85,4.54,0.221,0.256,0.275913
191,Malonic acid,C3H4O4,141-82-2,104.06146,834.0,6.1,0.279,0.245,0.738273
192,Methacrylic acid,C4H6O2,79-41-4,86.08924,662.0,4.79,0.28,0.244,0.331817
193,Methane,CH4,74-82-8,16.0425,190.564,4.599,0.0986,0.286,0.0115478
194,Methanol,CH4O,67-56-1,32.04186,512.5,8.084,0.117,0.222,0.565831
195,N-Methyl acetamide,C3H7NO,79-16-3,73.09378,718.0,4.98,0.267,0.223,0.435111
196,Methyl acetate,C3H6O2,79-20-9,74.07854,506.55,4.75,0.228,0.257,0.331255
197,Methyl acetylene,C3H4,74-99-7,40.06386,402.4,5.63,0.164,0.276,0.211537
198,Methyl acrylate,C4H6O2,96-33-3,86.08924,536.0,4.25,0.27,0.258,0.342296
199,Methyl amine,CH5N,74-89-5,31.0571,430.05,7.46,0.154,0.321,0.281417
200,Methyl benzoate,C8H8O2,93-58-3,136.14792,693.0,3.59,0.436,0.272,0.420541
201,"3-Methyl-1,2-butadiene",C5H8,598-25-4,68.11702,490.0,3.83,0.291,0.274,0.187439
202,2-Methylbutane,C5H12,78-78-4,72.14878,460.4,3.38,0.306,0.27,0.227875
203,2-Methylbutanoic acid,C5H10O2,116-53-0,102.1317,643.0,3.89,0.347,0.252,0.589443
204,3-Methyl-1-butanol,C5H12O,123-51-3,88.1482,577.2,3.93,0.329,0.269,0.59002
205,2-Methyl-1-butene,C5H10,563-46-2,70.1329,465.0,3.447,0.292,0.26,0.234056
206,2-Methyl-2-butene,C5H10,513-35-9,70.1329,470.0,3.42,0.292,0.256,0.28703
207,2-Methyl -1-butene-3-yne,C5H6,78-80-8,66.10114,492.0,4.38,0.248,0.266,0.137046
208,Methylbutyl ether,C5H12O,628-28-4,88.14818,512.74,3.371,0.329,0.26,0.313008
209,Methylbutyl sulfide,C5H12S,628-29-5,104.214,593.0,3.47,0.36,0.253,0.3229
210,3-Methyl-1-butyne,C5H8,598-23-2,68.11702,463.2,4.2,0.275,0.3,0.308085
211,Methyl butyrate,C5H10O2,623-42-7,102.1317,554.5,3.473,0.34,0.256,0.377519
212,Methylchlorosilane,CH5ClSi,993-00-0,80.5889,442.0,4.17,0.246,0.279,0.225204
213,Methylcyclohexane,C7H14,108-87-2,98.18606,572.1,3.48,0.369,0.27,0.236055
214,1-Methylcyclohexanol,C7H14O,590-67-0,114.18546,686,4,0.374,0.262,0.221299
215,cis-2-Methylcyclohexanol,C7H14O,7443-70-1,114.18546,614.0,3.79,0.374,0.278,0.68049
216,trans-2-Methylcyclohexanol,C7H14O,7443-52-9,114.18546,617.0,3.79,0.374,0.276,0.67904
217,Methylcyclopentane,C6H12,96-37-7,84.15948,532.7,3.79,0.319,0.273,0.228759
218,1-Methylcyclopentene,C6H10,693-89-0,82.1436,542.0,4.13,0.303,0.278,0.23179
219,3-Methylcyclopentene,C6H10,1120-62-3,82.1436,526.0,4.13,0.303,0.286,0.229606
220,Methyldichlorosilane,CH4Cl2Si,75-54-7,115.03396,483.0,3.95,0.289,0.284,0.275755
221,Methylethyl ether,C3H8O,540-67-0,60.09502,437.8,4.4,0.221,0.267,0.231374
222,Methylethyl ketone,C4H8O,78-93-3,72.10572,535.5,4.15,0.267,0.249,0.323369
223,Methylethyl sulfide,C3H8S,624-89-5,76.1606,533.0,4.26,0.254,0.244,0.209108
224,Methyl formate,C2H4O2,107-31-3,60.05196,487.2,6.0,0.172,0.255,0.255551
225,Methylisobutyl ether,C5H12O,625-44-5,88.14818,497.0,3.41,0.329,0.272,0.307786
226,Methylisobutyl ketone,C6H12O,108-10-1,100.15888,574.6,3.27,0.369,0.253,0.355671
227,Methyl Isocyanate,C2H3NO,624-83-9,57.05132,488.0,5.48,0.202,0.273,0.300694
228,Methylisopropyl ether,C4H10O,598-53-8,74.1216,464.48,3.762,0.276,0.269,0.26555
229,Methylisopropyl ketone,C5H10O,563-80-4,86.1323,553.4,3.8,0.31,0.256,0.320845
230,Methylisopropyl sulfide,C4H10S,1551-21-9,90.1872,553.1,4.021,0.328,0.28718,0.24611
231,Methyl mercaptan,CH4S,74-93-1,48.10746,469.95,7.23,0.145,0.268,0.158174
232,Methyl methacrylate,C5H8O2,80-62-6,100.11582,566.0,3.68,0.323,0.253,0.280233
233,2-Methyloctanoic acid,C9H18O2,3004-93-1,158.23802,694.0,2.54,0.572,0.252,0.791271
234,2-Methylpentane,C6H14,107-83-5,86.17536,497.7,3.04,0.368,0.27,0.279149
235,Methyl pentyl ether,C6H14O,628-80-8,102.17476,546.49,3.042,0.38,0.254,0.344201
236,2-Methylpropane,C4H10,75-28-5,58.1222,407.8,3.64,0.259,0.278,0.183521
237,2-Methyl-2-propanol,C4H10O,75-65-0,74.1216,506.2,3.972,0.275,0.26,0.615203
238,2-Methyl propene,C4H8,115-11-7,56.10632,417.9,4.0,0.239,0.275,0.19484
239,Methyl propionate,C4H8O2,554-12-1,88.10512,530.6,4.004,0.282,0.256,0.346586
240,Methylpropyl ether,C4H10O,557-17-5,74.1216,476.25,3.801,0.276,0.265,0.276999
241,Methylpropyl sulfide,C4H10S,3877-15-4,90.1872,565.0,3.97,0.307,0.259,0.273669
242,Methylsilane,CH6Si,992-94-9,46.14384,352.5,4.7,0.205,0.329,0.131449
243,alpha-Methyl styrene,C9H10,98-83-9,118.1757,654.0,3.36,0.399,0.247,0.32297
244,Methyl tert-butyl ether,C5H12O,1634-04-4,88.1482,497.1,3.286,0.329,0.262,0.246542
245,Methyl vinyl ether,C3H6O,107-25-5,58.07914,437.0,4.67,0.21,0.27,0.241564
246,Naphthalene,C10H8,91-20-3,128.17052,748.4,4.05,0.407,0.265,0.302034
247,Neon,Ne,7440-01-9,20.1797,44.4,2.653,0.0417,0.3,−0.0395988
248,Nitroethane,C2H5NO2,79-24-3,75.0666,593.0,5.16,0.236,0.247,0.380324
249,Nitrogen,N2,7727-37-9,28.0134,126.2,3.4,0.08921,0.289,0.0377215
250,Nitrogen trifluoride,F3N,7783-54-2,71.00191,234.0,4.4607,0.11875,0.272,0.119984
251,Nitromethane,CH3NO2,75-52-5,61.04002,588.15,6.31,0.173,0.223,0.348026
252,Nitrous oxide,N2O,10024-97-2,44.0128,309.57,7.245,0.0974,0.274,0.140894
253,Nitric oxide,NO,10102-43-9,30.0061,180.15,6.48,0.058,0.251,0.582944
254,Nonadecane,C19H40,629-92-5,268.5209,758.0,1.21,1.26,0.242,0.852231
255,Nonanal,C9H18O,124-19-6,142.23862,658.5,2.68,0.543,0.266,0.473309
256,Nonane,C9H20,111-84-2,128.2551,594.6,2.29,0.551,0.255,0.44346
257,Nonanoic acid,C9H18O2,112-05-0,158.238,710.7,2.514,0.584,0.248,0.778706
258,1-Nonanol,C9H20O,143-08-8,144.2545,670.9,2.527,0.576,0.261,0.584074
259,2-Nonanol,C9H20O,628-99-9,144.255,649.5,2.5408,0.577,0.271,0.6092
260,1-Nonene,C9H18,124-11-8,126.23922,593.1,2.428,0.524,0.258,0.436736
261,Nonyl mercaptan,C9H20S,1455-21-6,160.3201,681.0,2.31,0.571,0.233,0.52604
262,1-Nonyne,C9H16,3452-09-3,124.22334,598.05,2.61,0.497,0.261,0.470974
263,Octadecane,C18H38,593-45-3,254.49432,747.0,1.27,1.19,0.243,0.811359
264,Octanal,C8H16O,124-13-0,128.212,638.9,2.96,0.488,0.272,0.441993
265,Octane,C8H18,111-65-9,114.22852,568.7,2.49,0.486,0.256,0.399552
266,Octanoic acid,C8H16O2,124-07-2,144.211,694.26,2.779,0.523,0.252,0.773427
267,1-Octanol,C8H18O,111-87-5,130.22792,652.3,2.783,0.509,0.261,0.569694
268,2-Octanol,C8H18O,123-96-6,130.228,629.8,2.749,0.512,0.269,0.58814
269,2-Octanone,C8H16O,111-13-7,128.21204,632.7,2.64,0.497,0.249,0.454874
270,3-Octanone,C8H16O,106-68-3,128.21204,627.7,2.704,0.496953,0.257,0.440561
271,1-Octene,C8H16,111-66-0,112.21264,566.9,2.663,0.464,0.262,0.392149
272,Octyl mercaptan,C8H18S,111-88-6,146.29352,667.3,2.52,0.518,0.235,0.449744
273,1-Octyne,C8H14,629-05-0,110.19676,574.0,2.88,0.442,0.267,0.42329
274,Oxalic acid,C2H2O4,144-62-7,90.03488,828.0,8.2,0.227,0.27,0.286278
275,Oxygen,O2,7782-44-7,31.9988,154.58,5.043,0.0734,0.288,0.0221798
276,Ozone,O3,10028-15-6,47.9982,261.0,5.57,0.089,0.228,0.211896
277,Pentadecane,C15H32,629-62-9,212.41458,708.0,1.48,0.969,0.244,0.68632
278,Pentanal,C5H10O,110-62-3,86.1323,566.1,3.845,0.313,0.256,0.313152
279,Pentane,C5H12,109-66-0,72.14878,469.7,3.37,0.313,0.27,0.251506
280,Pentanoic acid,C5H10O2,109-52-4,102.132,639.16,3.63,0.35,0.239,0.706632
281,1-Pentanol,C5H12O,71-41-0,88.1482,588.1,3.897,0.326,0.258,0.57483
282,2-Pentanol,C5H12O,6032-29-7,88.1482,561.0,3.7,0.326,0.259,0.554979
283,2-Pentanone,C5H10O,107-87-9,86.1323,561.08,3.694,0.301,0.238,0.343288
284,3-Pentanone,C5H10O,96-22-0,86.1323,560.95,3.74,0.336,0.269,0.344846
285,1-Pentene,C5H10,109-67-1,70.1329,464.8,3.56,0.2934,0.27,0.237218
286,2-Pentyl mercaptan,C5H12S,2084-19-7,104.21378,584.3,3.536,0.385,0.28,0.26853
287,Pentyl mercaptan,C5H12S,110-66-7,104.21378,598.0,3.47,0.359,0.251,0.320705
288,1-Pentyne,C5H8,627-19-0,68.11702,481.2,4.17,0.277,0.289,0.289925
289,2-Pentyne,C5H8,627-21-4,68.11702,519.0,4.03,0.276,0.258,0.175199
290,Phenanthrene,C14H10,85-01-8,178.2292,869.0,2.9,0.554,0.222,0.470716
291,Phenol,C6H6O,108-95-2,94.11124,694.25,6.13,0.229,0.243,0.44346
292,Phenyl isocyanate,C7H5NO,103-71-9,119.1207,653.0,4.06,0.37,0.277,0.412323
293,Phthalic anhydride,C8H4O3,85-44-9,148.11556,791.0,4.72,0.421,0.302,0.702495
294,Propadiene,C3H4,463-49-0,40.06386,394.0,5.25,0.165,0.264,0.104121
295,Propane,C3H8,74-98-6,44.09562,369.83,4.248,0.2,0.276,0.152291
296,1-Propanol,C3H8O,71-23-8,60.09502,536.8,5.169,0.219,0.254,0.6209
297,2-Propanol,C3H8O,67-63-0,60.095,508.3,4.765,0.222,0.25,0.663
298,Propenylcyclohexene,C9H14,13511-13-2,122.20746,636.0,3.12,0.437,0.258,0.341975
299,Propionaldehyde,C3H6O,123-38-6,58.07914,503.6,5.038,0.204,0.246,0.281254
300,Propionic acid,C3H6O2,79-09-4,74.0785,600.81,4.668,0.235,0.22,0.579579
301,Propionitrile,C3H5N,107-12-0,55.0785,561.3,4.26,0.242,0.221,0.350057
302,Propyl acetate,C5H10O2,109-60-4,102.1317,549.73,3.36,0.345,0.254,0.388902
303,Propyl amine,C3H9N,107-10-8,59.11026,496.95,4.74,0.26,0.298,0.279839
304,Propylbenzene,C9H12,103-65-1,120.19158,638.35,3.2,0.44,0.265,0.344391
305,Propylene,C3H6,115-07-1,42.07974,364.85,4.6,0.185,0.281,0.137588
306,Propyl formate,C4H8O2,110-74-7,88.10512,538.0,4.02,0.285,0.256,0.308779
307,2-Propyl mercaptan,C3H8S,75-33-2,76.16062,517.0,4.75,0.254,0.281,0.21381
308,Propyl mercaptan,C3H8S,107-03-9,76.16062,536.6,4.63,0.254,0.264,0.231789
309,"1,2-Propylene glycol",C3H8O2,57-55-6,76.09442,626,6.1,0.239,0.28,1.10651
310,Quinone,C6H4O2,106-51-4,108.09476,683.0,5.96,0.291,0.305,0.494515
311,Silicon tetrafluoride,F4Si,7783-61-1,104.07911,259.0,3.72,0.202,0.349,0.38584
312,Styrene,C8H8,100-42-5,104.14912,636.0,3.84,0.352,0.256,0.297097
313,Succinic acid,C4H6O4,110-15-6,118.08804,838.0,5.0,0.33,0.237,0.743044
314,Sulfur dioxide,O2S,7446-09-5,64.0638,430.75,7.8841,0.122,0.269,0.245381
315,Sulfur hexafluoride,F6S,2551-62-4,146.0554192,318.69,3.76,0.19852,0.282,0.215146
316,Sulfur trioxide,O3S,7446-11-9,80.0632,490.85,8.21,0.127,0.255,0.42396
317,Terephthalic acid,C8H6O4,100-21-0,166.13084,883.6,3.486,0.424,0.201,0.94695
318,o-Terphenyl,C18H14,84-15-1,230.30376,857.0,2.99,0.731,0.307,0.551265
319,Tetradecane,C14H30,629-59-4,198.388,693.0,1.57,0.897,0.244,0.643017
320,Tetrahydrofuran,C4H8O,109-99-9,72.10572,540.15,5.19,0.224,0.259,0.225354
321,"1,2,3,4-Tetrahydronaphthalene",C10H12,119-64-2,132.20228,720.0,3.65,0.408,0.249,0.335255
322,Tetrahydrothiophene,C4H8S,110-01-0,88.17132,631.95,5.16,0.249,0.245,0.199551
323,"2,2,3,3-Tetramethylbutane",C8H18,594-82-1,114.22852,568.0,2.87,0.461,0.28,0.244953
324,Thiophene,C4H4S,110-02-1,84.13956,579.35,5.69,0.219,0.259,0.196972
325,Toluene,C7H8,108-88-3,92.13842,591.75,4.108,0.316,0.264,0.264012
326,"1,1,2-Trichloroethane",C2H3Cl3,79-00-5,133.40422,602.0,4.48,0.281,0.252,0.259135
327,Tridecane,C13H28,629-50-5,184.36142,675.0,1.68,0.826,0.247,0.617397
328,Triethyl amine,C6H15N,121-44-8,101.19,535.15,3.04,0.39,0.266,0.316193
329,Trimethyl amine,C3H9N,75-50-3,59.11026,433.25,4.07,0.254,0.287,0.206243
330,"1,2,3-Trimethylbenzene",C9H12,526-73-8,120.19158,664.5,3.454,0.414,0.259,0.366553
331,"1,2,4-Trimethylbenzene",C9H12,95-63-6,120.19158,649.1,3.232,0.43,0.258,0.37871
332,"2,2,4-Trimethylpentane",C8H18,540-84-1,114.22852,543.8,2.57,0.468,0.266,0.303455
333,"2,3,3-Trimethylpentane",C8H18,560-21-4,114.22852,573.5,2.82,0.455,0.269,0.2903
334,"1,3,5-Trinitrobenzene",C6H3N3O6,99-35-4,213.10452,846.0,3.39,0.479,0.231,0.862257
335,"2,4,6-Trinitrotoluene",C7H5N3O6,118-96-7,227.1311,828.0,3.04,0.572,0.253,0.897249
336,Undecane,C11H24,1120-21-4,156.30826,639.0,1.95,0.685,0.252,0.530316
337,1-Undecanol,C11H24O,112-42-5,172.30766,703.9,2.119,0.715,0.259,0.623622
338,Vinyl acetate,C4H6O2,108-05-4,86.08924,519.13,3.958,0.27,0.248,0.351307
339,Vinyl acetylene,C4H4,689-97-4,52.07456,454.0,4.86,0.205,0.264,0.106852
340,Vinyl chloride,C2H3Cl,75-01-4,62.49822,432.0,5.67,0.179,0.283,0.100107
341,Vinyl trichlorosilane,C2H3Cl3Si,75-94-5,161.48972,543.15,3.06,0.408,0.276,0.281543
342,Water,H2O,7732-18-5,18.01528,647.096,22.064,0.0559472,0.229,0.344861
343,m-Xylene,C8H10,108-38-3,106.165,617.0,3.541,0.375,0.259,0.326485
344,o-Xylene,C8H10,95-47-6,106.165,630.3,3.732,0.37,0.264,0.31013
345,p-Xylene,C8H10,106-42-3,106.165,616.2,3.511,0.378,0.259,0.321839
